# joint23(x,y), joint34(x,y),   joint45(x,y),     coupler(x,y)
-46.47	27.26	-53.38	37.30	-70.00	27.26	-51.00	45.00
-45.39	26.53	-53.36	35.75	-70.55	26.73	-50.52	43.30
-44.60	25.50	-53.29	34.04	-71.01	26.11	-49.98	41.39
-44.17	24.27	-53.24	32.40	-71.37	25.43	-49.55	39.57
-44.15	22.96	-53.26	31.06	-71.61	24.70	-49.33	38.09
-44.54	21.72	-53.34	30.16	-71.73	23.95	-49.35	37.16
-45.30	20.66	-53.45	29.72	-71.73	23.18	-49.59	36.80
-46.35	19.90	-53.61	29.69	-71.61	22.42	-50.03	36.91
-47.59	19.50	-53.82	29.98	-71.38	21.69	-50.66	37.40
-48.89	19.52	-54.10	30.53	-71.02	21.01	-51.49	38.16
-50.13	19.94	-54.51	31.31	-70.57	20.39	-52.55	39.13
-51.16	20.72	-55.08	32.26	-70.02	19.86	-53.88	40.23
-51.90	21.80	-55.85	33.33	-69.39	19.41	-55.49	41.38
-52.26	23.05	-56.75	34.38	-68.70	19.08	-57.27	42.42
-52.21	24.35	-57.61	35.28	-67.97	18.85	-58.94	43.23
-51.76	25.57	-58.17	35.94	-67.21	18.75	-60.12	43.76
-50.95	26.59	-58.23	36.36	-66.44	18.77	-60.54	44.08
-49.85	27.30	-57.71	36.61	-65.69	18.91	-60.13	44.30
-48.59	27.62	-56.69	36.73	-64.96	19.17	-58.98	44.46
-47.29	27.54	-55.29	36.74	-64.29	19.54	-57.25	44.56
-46.09	27.06	-53.64	36.62	-63.69	20.01	-55.11	44.55
-45.09	26.21	-51.85	36.35	-63.16	20.57	-52.71	44.37
-44.41	25.10	-50.05	35.91	-62.74	21.21	-50.18	43.97
-44.12	23.83	-48.33	35.27	-62.42	21.91	-47.65	43.30
-44.23	22.54	-46.80	34.45	-62.22	22.65	-45.28	42.37
-44.75	21.34	-45.55	33.51	-62.13	23.41	-43.19	41.21
-45.62	20.37	-44.64	32.52	-62.17	24.18	-41.51	39.95
-46.75	19.72	-44.11	31.62	-62.33	24.93	-40.30	38.73
-48.02	19.46	-43.93	30.94	-62.61	25.64	-39.60	37.74
-49.32	19.61	-44.06	30.61	-63.00	26.30	-39.38	37.17
-50.50	20.16	-44.45	30.75	-63.49	26.90	-39.62	37.19
-51.45	21.06	-45.07	31.44	-64.06	27.40	-40.30	37.94
-52.06	22.20	-45.93	32.73	-64.71	27.81	-41.46	39.44
-52.29	23.48	-47.08	34.50	-65.42	28.11	-43.16	41.54
-52.11	24.77	-48.53	36.42	-66.16	28.30	-45.31	43.81
-51.53	25.94	-50.10	38.04	-66.93	28.36	-47.55	45.69
-50.61	26.86	-51.50	39.02	-67.69	28.30	-49.44	46.81
-49.45	27.45	-52.52	39.24	-68.44	28.12	-50.66	47.08
-48.16	27.64	-53.11	38.78	-69.15	27.82	-51.17	46.60
-46.87	27.42	-53.36	37.74	-69.80	27.42	-51.11	45.49
-45.72	26.81	-53.38	36.30	-70.38	26.91	-50.70	43.90
-44.83	25.87	-53.31	34.62	-70.87	26.32	-50.16	42.03
-44.27	24.69	-53.25	32.93	-71.26	25.66	-49.68	40.15
-44.11	23.40	-53.25	31.46	-71.54	24.95	-49.38	38.53
-44.36	22.12	-53.31	30.40	-71.70	24.20	-49.31	37.41
-45.01	20.99	-53.41	29.82	-71.75	23.43	-49.49	36.86
-45.97	20.12	-53.55	29.66	-71.67	22.67	-49.87	36.83
-47.16	19.59	-53.74	29.85	-71.47	21.93	-50.43	37.20
-48.46	19.46	-54.00	30.32	-71.15	21.23	-51.19	37.88
-49.73	19.75	-54.36	31.03	-70.73	20.59	-52.16	38.78
-50.85	20.43	-54.87	31.93	-70.21	20.02	-53.40	39.85
-51.69	21.41	-55.57	32.97	-69.61	19.55	-54.93	41.00
-52.19	22.62	-56.44	34.04	-68.94	19.18	-56.68	42.10
-52.28	23.92	-57.35	35.00	-68.22	18.91	-58.42	42.99
-51.95	25.18	-58.03	35.74	-67.46	18.77	-59.80	43.61
-51.25	26.28	-58.27	36.24	-66.70	18.75	-60.49	43.99
-50.24	27.10	-57.94	36.54	-65.94	18.85	-60.35	44.23
-49.02	27.56	-57.08	36.70	-65.20	19.07	-59.43	44.41
-47.72	27.62	-55.79	36.75	-64.51	19.40	-57.88	44.54
-46.47	27.26	-54.21	36.68	-63.88	19.84	-55.86	44.57
